Charles Philip Yorke;1700;Politician, Home Secretary;mw00119.jpg
Elizabeth Yorke (née Cust);1700;First wife of Philip Yorke, daughter of Sir John Cust;mw194695.jpg
Henry Redhead Yorke;1700;Publicist;mw39292.jpg
Sir Joseph Sydney Yorke;1700;Admiral;mw194690.jpg
Philip Yorke;1700;Genealogist and writer;mw194692.jpg
John Hayes St Leger;1700;Army officer, courtier and rake;mw203447.jpg
John Jervis, Earl of St Vincent;1700;Admiral;mw05571.jpg
Sir Edmund Nagle;1700;Admiral;mw04603.jpg
Nano or Honora Nagle;1700;Foundress of the Ursuline convent at Cork;mw35070.jpg
Giuseppe Naldi;1700;Italian singer, pianist and cellist;mw08934.jpg
George Walker;1700;Dissenting minister and mathematician;mw197393.jpg
James Walker;1700;Rear-Admiral;mw82914.jpg
John Walker;1700;Actor and lexicographer;mw08004.jpg
William Paca;1700;Signer of the Declaration of Independence;mw17051.jpg
Gasparo Pacchierotti;1700;Singer;mw68327.jpg
John Hayman Packer;1700;Actor;mw69921.jpg
Sir Joseph Radcliffe, Bt;1700;Justice of the Peace for the West Riding;mw200874.jpg
Walter Radcliffe;1700;of Warleigh;mw38239.jpg
Sir William Elias Taunton;1700;Town clerk of Oxford;mw15313.jpg
Francis Russell, Marquess of Tavistock;1700;Son of 4th Duke of Bedford, father of 5th Duke of Bedford;mw204930.jpg
Lady Elizabeth Russell (née Keppel), Marchioness of Tavistock;1700;Wife of Francis Russell, Marquess of Tavistock;mw195528.jpg
Thomas Tayler;1700;Master of Lloyd's Coffee House;mw204942.jpg
Roger O'Connor;1700;Irish nationalist;mw37952.jpg
Arthur Young;1700;Agriculturalist, traveller and writer;mw06993.jpg
Ralph Walker;1700;Sailor, inventor and engineer;mw39544.jpg
Richard Walker;1700;Professor of moral philosophy and founder of Botanic Garden, Cambridge;mw17147.jpg
Robert Walker;1700;Clergyman;mw85008.jpg
Thomas Walker;1700;Actor;mw06551.jpg
Thomas Walker;1700;Merchant;mw197438.jpg
Sir Francis Page;1700;Judge;mw16390.jpg
Jacob Pleydell-Bouverie, 2nd Earl of Radnor;1700;Politician, MP for Salisbury;mw09377.jpg
William Waldegrave, 1st Baron Radstock;1700;Admiral;mw82918.jpg
Ann Taylor (née Martin);1700;Writer, wife of Isaac Taylor;mw06207.jpg
Bridges Taylor;1700;Brother of Brook Taylor;mw08092.jpg
Brook Taylor;1700;Mathematician;mw08092.jpg
Charles Taylor;1700;Soldier;mw204953.jpg
Gerard van Neck;1700;Dutch merchant in London;mw41489.jpg
Henry Vansittart;1700;Colonial governor;mw38858.jpg
Henry Vansittart;1700;Orientalist;mw199418.jpg
Prince Octavius;1700;Son of George III;mw17844.jpg
Henry Hoyle Oddie;1700;Solicitor;mw200199.jpg
Edward Young;1700;Poet;mw06996.jpg
Sir George Young;1700;Admiral;mw35106.jpg
James Cecil, 1st Marquess of Salisbury;1700;Lord Chamberlain;mw61089.jpg
Mary Amelia Cecil (née Hill), Marchioness of Salisbury;1700;Political hostess and sportswoman;mw61089.jpg
James Cecil, 5th Earl of Salisbury;1700;Son of 4th Earl of Salisbury;mw38421.jpg
Francis Napier, 8th Lord Napier of Merchistoun;1700;Lieutenant-Colonel and politician;mw85022.jpg
Lady Sarah Napier (née Lennox, formerly Bunbury);1700;Noblewoman and society beauty, former wife of Sir Charles Bunbury, 6th Bt, and later wife of Hon. George Napier;mw197943.jpg
George Napier;1700;Army officer;mw127308.jpg
William Walker;1700;Rector of Monksilver, chaplain to Lincoln's Inn;mw197455.jpg
Charles Wall;1700;Banker, son-in-law of Sir Francis Baring, 1st Bt;mw69995.jpg
John Wall;1700;Physician and medical writer;mw42218.jpg
Joseph Wall;1700;Army officer and murderer;mw41516.jpg
Julius Caesar Ibbetson;1700;Landscape painter;mw03349.jpg
Benjamin Ibbot;1700;Chaplain to George I;mw37329.jpg
Sir Henry Raeburn;1700;Portrait painter;mw200894.jpg
Elizabeth Raffald (née Whitaker);1700;Cook and writer;mw42237.jpg
Cyril Jackson;1700;Dean of Christ Church, Oxford;mw15412.jpg
Louis Philippe de Rigaud, Marquis de Vaudreuil;1700;French statesman;mw63195.jpg
Peter Labilliere;1700;Army Major, Christian patriot and political agitator;mw280711.jpg
James Lackington;1700;Bookseller;mw57733.jpg
Samuel Ogden;1700;Divine;mw42382.jpg
Robert Young;1700;Minister of the Scots Church, London Wall;mw194707.jpg
Johann Peter Salomon;1700;Musician, violinist, composer and conductor;mw91410.jpg
Napoléon Bonaparte;1700;Emperor of France 1804-14;mw04613.jpg
Louis Marie Jacques Amalric, comte de Narbonne-Lara;1700;French soldier and diplomat;mw71345.jpg
Charlotte Nares (née Spencer);1700;Third daughter of 4th Duke of Marlborough, wife of Edward Nares;mw207268.jpg
Sir Gregory Page-Turner (né Turner), 3rd Bt;1700;Politician, MP for Thirsk;mw68712.jpg
Robert Raikes;1700;Journalist and promoter of Sunday Schools;mw05199.jpg
Isaac Taylor;1700;Nonconformist divine, writer and engraver;mw06207.jpg
John Taylor;1700;Unitarian minister at Norwich;mw205192.jpg
John Taylor;1700;Itinerant oculist;mw113133.jpg
Sir John Taylor, Bt;1700;Fellow of the Royal Society;mw205193.jpg
John Taylor;1700;Writer;mw60187.jpg
Richard Vaughan ('Hell Fire Dick');1700;Driver of the Cambridge Telegraph;mw18361.jpg
François Maurice, comte de Lacy;1700;Austrian Field Marshal;mw73871.jpg
Sir Robert Ladbroke;1700;Lord Mayor of London;mw195842.jpg
John Ogilvie;1700;Divine, poet and writer;mw64776.jpg
Sir William Young, 2nd Bt;1700;Governor of Tobago and politician, MP;mw00119.jpg
William Salte;1700;of Tottenham;mw203874.jpg
Sir George Nares;1700;Judge;mw197954.jpg
James Nares;1700;Composer;mw15579.jpg
Robert Nares;1700;Philologist;mw71894.jpg
Richard ('Beau') Nash;1700;Man of fashion;mw04621.jpg
John Nash;1700;Architect;mw04618.jpg
John Loudon McAdam;1700;The 'macadamiser' of roads;mw04081.jpg
Henry Home, Lord Kames;1700;Judge and author;mw140152.jpg
Sir Elijah Impey;1700;Chief Justice of Bengal;mw03355.jpg
James Paine the Younger;1700;Architect;mw00371.jpg
James Thomas Paine;1700;Son of James Paine the Younger;mw200959.jpg
Robert Treat Paine;1700;Lawyer and signer of the Declaration of Independence;mw17051.jpg
Thomas Paine;1700;Author of 'The Rights of Man';mw122013.jpg
Giovanni Paisiello;1700;Italian composer;mw72591.jpg
Sir Edward Michael Pakenham;1700;Major-General;mw04830.jpg
Sir Thomas Pakenham;1700;Admiral;mw82911.jpg
Matthew Raine;1700;Headmaster;mw200929.jpg
John Jackson;1700;Theological writer;mw37338.jpg
Margaret Taylor;1700;Sister of Brook Taylor;mw08092.jpg
Mary Taylor;1700;Sister of Brook Taylor;mw08092.jpg
James Edward Oglethorpe;1700;Founder of Georgia;mw01070.jpg
Treadway Russell Nash;1700;Church of England clergyman and antiquary;mw194651.jpg
Alexander Nasmyth;1700;Painter and scientist;mw00102.jpg
George Macartney, 1st Earl Macartney;1700;Diplomat and colonial governor;mw04084.jpg
Catharine Macaulay (née Sawbridge);1700;Historian and political polemicist;mw04090.jpg
George Wallis;1700;Gunsmith and antiquary;mw197542.jpg
Elizabeth Inchbald (née Simpson);1700;Actress and writer;mw03357.jpg
Charles Incledon;1700;Singer and actor;mw03359.jpg
William Paley;1700;Theological writer;mw04831.jpg
William Jackson;1700;Musical composer;mw37340.jpg
William Jackson;1700;Bishop of Oxford;mw194725.jpg
Olive Taylor;1700;Sister of Brook Taylor;mw08092.jpg
Sir Robert Taylor;1700;Architect;mw06223.jpg
Henry Venn;1700;Evangelical divine, founder of the Clapham Sect;mw06492.jpg
John Venn;1700;Rector of Clapham;mw41490.jpg
Gerard Lake, 1st Viscount Lake;1700;General;mw39350.jpg
Sir Bibye Lake;1700;Sub-Governor of the African Company;mw142108.jpg
George Augustus Frederick Lake;1700;Lieutenant-Colonel and Page of Honour to the Prince of Wales;mw69888.jpg
Trophime Gérard de Lally Tollendal;1700;French statesman;mw71533.jpg
Jean-Baptiste Pierre Antoine de Monet, Chevalier de Lamarck;1700;French soldier, naturalist and academic;mw149369.jpg
John O'Keeffe;1700;Dramatist;mw04736.jpg
David Macbride;1700;Chemist and physician;mw197421.jpg
Horatio Walpole, 1st Baron Walpole of Wolterton;1700;Politician and ambassador to France and the Netherlands;mw06560.jpg
Galfridus Walpole;1700;Naval Officer, treasurer of Greenwich Hospital and Postmaster General, brother of the 1st Earl of Orford;mw143904.jpg
George Walpole;1700;Soldier;mw62249.jpg
Thomas Walpole;1700;Politician and banker;mw160199.jpg
Angelica Kauffmann;1700;Painter;mw03540.jpg
Sir Hildebrand Jacob;1700;Poet;mw75239.jpg
Thomas Taylor;1700;Platonist;mw06224.jpg
Upton Taylor;1700;Brother of Brook Taylor;mw08092.jpg
Johannes ('John') Gabriel;1700;Rector of Barkham;mw149076.jpg
Peniston Lamb;1700;Son of 1st Viscount Melbourne;mw199179.jpg
Anne Oldfield;1700;Actress;mw04737.jpg
Samuel Oldknow;1700;High Sheriff of Derby;mw37954.jpg
William Oldys;1700;Norroy king-of-arms and antiquary;mw57843.jpg
Arthur O'Leary;1700;Roman Catholic priest and religious controversialist;mw90795.jpg
Sir William George Fairfax;1700;Vice-Admiral;mw82914.jpg
Ignatius Sancho;1700;Writer;mw286261.jpg
Anne Sandby (née Stogden);1700;Wife of Paul Sandby;mw38405.jpg
Paul Sandby;1700;Watercolour painter and engraver and a founder of the Royal Academy of Arts;mw00356.jpg
Thomas Sandby;1700;Draughtsman and architect, brother of Paul Sandby;mw00356.jpg
Jacques Necker;1700;French financier and statesman;mw68200.jpg
