Henry Stuart, Lord Darnley;1500;Second Consort of Mary, Queen of Scots;mw01720.jpg
John Overall;1500;Bishop of Norwich;mw128865.jpg
Sir Thomas Overbury;1500;Poet and courtier;mw04790.jpg
Robert Scarlett ('Old Scarlett');1500;Sexton of Peterborough Cathedral;mw41880.jpg
Gaspar Schets;1500;Antwerp financier;mw272208.jpg
Lamoral, Count of Egmont and Prince of Gavre;1500;General and statesman;mw140932.jpg
Elizabeth Dauncey (née More);1500;Second daughter of Sir Thomas More, wife of William Dauncey;mw01734.jpg
Jean Daurat (Dorat);1500;Poet;mw196455.jpg
Ferdinand I, Holy Roman Emperor;1500;Holy Roman Emperor 1556-64;mw125295.jpg
John Jewel;1500;Bishop of Salisbury;mw03470.jpg
Heinrich Cornelius Agrippa;1500;Magician, occult writer, astrologer and alchemist;mw125439.jpg
Edward de Vere, 17th Earl of Oxford;1500;Courtier;mw04807.jpg
Pope Paul III (Alessandro Farnese);1500;Pope 1534-49;mw119681.jpg
Joanna ('Joanna the Mad'), Queen of Castile and León and Aragon;1500;Reigned Castile 1504-55 and Aragon 1516-55;mw84920.jpg
Edmund Geninges;1500;Roman Catholic divine;mw37566.jpg
Jean Fernel;1500;Physician;mw136001.jpg
John (or Hans), Prince of Denmark;1500;Son of Christian II of Denmark and Isabella of Austria, Crown Prince of Denmark, Norway, and Sweden;mw123792.jpg
John Thornborough;1500;Bishop of Worcester;mw06330.jpg
Henry Airay;1500;Provost of Queen's College, Oxford;mw129032.jpg
Edmund Campion;1500;Jesuit, taught in Prague;mw126991.jpg
Marie d'Assigny, Madame de Canaples;1500;Wife of Jean de Crequi, sire de Canaples;mw124803.jpg
Queen Elizabeth I;1500;Reigned 1558-1603;mw02071.jpg
Cornelis Ketel;1500;Dutch mannerist painter;mw127628.jpg
William Knollys, Earl of Banbury;1500;Statesman;mw128656.jpg
Richard Bancroft;1500;Archbishop of Canterbury;mw00317.jpg
John Gerard;1500;Herbalist;mw36974.jpg
John Davies;1500;Poet and writing master;mw133608.jpg
